Sl. No.,Country,No. of Researchers per million people,Population in Million -2009,Total Researchers (Number) -2009,Note on Total Researchers (Number) -2009
1,Argentina,1091,40.1,43717,NA
2,Australia,4208,22.0,92379,#
3,Austria,4144,8.4,34664,NA
4,Brazil,668,193.2,129106,NA
5,Canada,4470,33.7,148983,#
6,China,863,1331.4,1152311,NA
7,Czech Republic,2742,10.5,28759,NA
8,Denmark,6529,5.5,36062,NA
9,Finland,7651,5.3,40849,NA
10,France,3619,64.7,234201,NA
11,Germany,3873,81.9,317226,NA
12,Hungary,2002,10.0,20064,NA
13,India*,164,1177.0,192819,NA
14,Italy,1692,60.2,101825,NA
15,Japan,5139,127.6,655530,NA
16,Korea Republic,4963,49.2,244077,NA
17,Mexico,384,112.0,42973,NA
18,Netherlands,2841,16.5,46958,NA
19,Norway,5441,4.8,26273,NA
20,Pakistan,162,170.5,27602,NA
21,Russian Fed.,3117,141.9,442263,NA
22,Singapore,6121,5.0,30530,NA
23,Spain,2915,45.9,133803,NA
24,South Africa,396,49.0,19384,NA
25,Sri Lanka,96,20.5,1972,#
26,Sweden,5053,9.3,46983,NA
27,United Kingdom,4144,61.8,256124,NA
28,United States,4605,306.8,1412639,@
29,Venezuela,185,28.4,5261,#
